SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
0.000000,0.000000,4.004696,18.284219,-16.921560,0.687712,0.146559,-0.014242,0.023635
1.000000,0.000000,3.956682,18.359024,-17.141849,0.689110,0.144731,-0.009615,0.022023
2.000000,0.000000,4.020777,18.302189,-17.030739,0.689634,0.146438,-0.017922,0.023635
3.000000,0.000000,3.972247,18.314878,-16.965309,0.690185,0.146814,-0.010877,0.020734
4.000000,0.000000,3.941523,18.302735,-17.005526,0.689563,0.149172,-0.002207,0.022668
5.000000,0.000000,3.952173,18.382075,-16.998267,0.689628,0.145854,-0.024645,0.021378
6.000000,0.000000,4.054842,18.297874,-17.081278,0.687189,0.145153,0.001075,0.020734
7.000000,0.000000,3.917006,18.354636,-17.054967,0.686948,0.146798,-0.019719,0.038140
8.000000,0.000000,3.925240,18.389435,-17.094482,0.688106,0.149971,-0.015794,0.023957
9.000000,0.000000,4.002284,18.337601,-16.919609,0.686005,0.147432,-0.012642,0.022345
10.000000,0.000000,3.924356,18.340288,-17.033927,0.688827,0.144628,-0.009810,0.024602
11.000000,0.000000,3.959295,18.338122,-17.094795,0.688211,0.149124,-0.018131,0.023312
12.000000,0.000000,4.036091,18.374147,-17.028238,0.689803,0.149266,-0.011134,0.019767
13.000000,0.000000,3.947323,18.315373,-17.069090,0.688374,0.151025,-0.008357,0.021056
14.000000,0.000000,3.975904,18.304657,-16.979391,0.691772,0.150037,-0.018347,0.021378
15.000000,0.000000,4.055822,18.298078,-17.021356,0.687428,0.146749,-0.001543,0.022668
16.000000,0.000000,3.997508,18.316095,-16.971988,0.690011,0.147481,-0.017647,0.020411
17.000000,0.000000,3.991045,18.362809,-17.053258,0.687985,0.149370,-0.003625,0.022990
18.000000,0.000000,3.971913,18.321786,-17.012715,0.689841,0.149349,-0.010556,0.021701
19.000000,0.000000,3.930131,18.330045,-16.820421,0.689857,0.150564,-0.011066,0.022023
20.000000,0.000000,3.917233,18.359415,-16.855464,0.686178,0.146529,-0.008459,0.020411
21.000000,0.000000,3.973358,18.356449,-17.037018,0.689116,0.148860,-0.018017,0.024602
22.000000,0.000000,3.981042,18.341182,-17.062068,0.686772,0.148335,-0.002621,0.022668
23.000000,0.000000,3.951513,18.322335,-17.005339,0.690558,0.148594,-0.017746,0.026214
24.000000,0.000000,4.010534,18.386958,-17.037633,0.688041,0.147565,-0.007811,0.023312
25.000000,0.000000,4.029607,18.328223,-17.003932,0.688546,0.147189,-0.019947,0.021056
26.000000,0.000000,3.999726,18.343235,-17.010595,0.688209,0.150731,-0.000489,0.022990
27.000000,0.000000,3.974998,18.325146,-17.067818,0.688789,0.151087,-0.021893,0.021701
28.000000,0.000000,4.001063,18.340903,-16.944802,0.687923,0.149178,-0.005279,0.015254
29.000000,0.000000,3.937999,18.311292,-16.936887,0.685672,0.147627,-0.013621,0.024602
30.000000,0.000000,3.906599,18.352890,-17.032574,0.690404,0.147428,-0.009644,0.022345
31.000000,0.000000,4.006247,18.357129,-17.054928,0.687447,0.146599,-0.008534,0.022990
32.000000,0.000000,3.966386,18.318309,-17.071994,0.690079,0.147781,-0.021319,0.022023
33.000000,0.000000,3.910816,18.342508,-17.031317,0.685781,0.146065,-0.002469,0.020734
34.000000,0.000000,4.021239,18.395543,-17.064415,0.690076,0.145686,-0.023053,0.022990
35.000000,0.000000,4.037277,18.364848,-17.030522,0.687052,0.145385,-0.005540,0.022345
36.000000,0.000000,3.925969,18.347088,-16.979884,0.689413,0.148921,-0.013856,0.022023
37.000000,0.000000,3.931178,18.349252,-17.081071,0.689945,0.147934,-0.014523,0.026214
38.000000,0.000000,4.040694,18.332087,-17.145242,0.686986,0.146810,-0.014122,0.021701
39.000000,0.000000,3.983674,18.301618,-17.024463,0.689827,0.145044,-0.017480,0.022023
40.000000,0.000000,3.974950,18.351993,-17.039708,0.685207,0.144560,-0.001920,0.022023
41.000000,0.000000,4.011435,18.333326,-16.922433,0.691182,0.146470,-0.030769,0.022990
42.000000,0.000000,3.976384,18.289596,-16.992903,0.682105,0.148556,0.005230,0.022345
43.000000,0.000000,3.829388,18.380393,-17.065279,0.690788,0.148017,-0.029007,0.022990
44.000000,0.000000,3.945823,18.338684,-16.973872,0.686401,0.145562,0.004966,0.021701
45.000000,0.000000,3.992748,18.341440,-16.999089,0.688190,0.143639,-0.022096,0.022668
46.000000,0.000000,3.903137,18.306907,-17.190792,0.687763,0.146639,-0.001379,0.023635
47.000000,0.000000,3.989280,18.357448,-16.985170,0.687227,0.149550,-0.013738,0.020411
48.000000,0.000000,3.943213,18.318231,-16.964624,0.691388,0.149335,-0.004810,0.027503
49.000000,0.000000,3.960518,18.324719,-16.946543,0.686532,0.146648,-0.010743,0.026858
50.000000,0.000000,4.008161,18.307547,-17.039322,0.692999,0.148907,-0.015594,0.019767
51.000000,0.000000,3.987595,18.347817,-17.026826,0.686406,0.149400,-0.009547,0.022668
52.000000,0.000000,3.903382,18.314364,-17.039805,0.692589,0.149309,-0.022019,0.021378
53.000000,0.000000,3.978656,18.352844,-16.964909,0.689216,0.146738,-0.005832,0.022990
54.000000,0.000000,3.995659,18.324224,-17.152562,0.695086,0.145289,-0.016676,0.015254
55.000000,0.000000,3.971977,18.318309,-17.245395,0.690519,0.141919,-0.009153,0.021378
56.000000,0.000000,3.985091,18.289379,-16.900566,0.688885,0.143842,-0.009210,0.020734
57.000000,0.000000,3.921278,18.342190,-16.947444,0.692386,0.150615,-0.007818,0.021378
58.000000,0.000000,3.985384,18.332440,-16.969909,0.687144,0.148035,-0.015052,0.022990
59.000000,0.000000,3.987076,18.312347,-16.975712,0.692267,0.145936,-0.009725,0.022345
60.000000,0.000000,3.959717,18.302773,-17.073882,0.685815,0.143999,-0.008387,0.022023
61.000000,0.000000,3.943944,18.327271,-16.990648,0.692721,0.148001,-0.019184,0.021378
62.000000,0.000000,3.967667,18.324411,-17.044454,0.687747,0.150378,-0.001472,0.022668
63.000000,0.000000,3.905838,18.316317,-16.974260,0.691147,0.147323,-0.018465,0.027825
64.000000,0.000000,3.995631,18.353858,-17.178087,0.692588,0.143554,-0.008603,0.012997
65.000000,0.000000,3.993130,18.337505,-16.934114,0.690689,0.143857,-0.018528,0.018799
66.000000,0.000000,3.944078,18.310504,-17.042143,0.691072,0.146264,-0.007658,0.021378
