SampleNumber,AngleOfAttack_deg,ForceX_N,ForceY_N,ForceZ_N,TorqueX_Nm,TorqueY_Nm,TorqueZ_Nm,TaredBaratronVoltage
0.000000,0.000000,4.336446,17.903568,-10.195863,0.686680,0.149613,0.004300,0.022990
1.000000,0.000000,4.328914,17.897513,-10.027237,0.686573,0.151236,-0.001255,0.023312
2.000000,0.000000,4.352441,17.904025,-10.097893,0.688061,0.147780,6.541495E-5,0.023635
3.000000,0.000000,4.407709,17.936090,-10.013093,0.688681,0.148742,0.000441,0.022990
4.000000,0.000000,4.375803,17.964518,-10.028881,0.688095,0.149389,-0.003555,0.020734
5.000000,0.000000,4.365576,17.939855,-10.062278,0.688267,0.150074,0.001066,0.024279
6.000000,0.000000,4.329809,17.897296,-10.069458,0.687295,0.151057,-0.002526,0.023635
7.000000,0.000000,4.336767,17.946706,-10.028763,0.688555,0.151173,0.004377,0.024279
8.000000,0.000000,4.365347,17.927810,-9.997120,0.689059,0.148105,-0.010633,0.021701
9.000000,0.000000,4.385014,17.929603,-10.094980,0.688881,0.150816,6.721567E-5,0.023312
10.000000,0.000000,4.369711,17.904826,-10.113574,0.687376,0.148271,0.002656,0.023957
11.000000,0.000000,4.397969,17.873719,-10.074361,0.684939,0.152055,-0.001702,0.022990
12.000000,0.000000,4.346146,17.962715,-9.987436,0.689439,0.151240,0.004790,0.024602
13.000000,0.000000,4.331930,17.920186,-10.077950,0.686418,0.149424,-0.011875,0.023635
14.000000,0.000000,4.349745,17.917883,-10.062693,0.687974,0.150280,0.007542,0.025891
15.000000,0.000000,4.371389,17.915185,-10.019292,0.687506,0.150587,-0.002854,0.023635
16.000000,0.000000,4.413443,17.964621,-10.027489,0.686910,0.150228,0.006644,0.023957
17.000000,0.000000,4.316681,17.951662,-10.053662,0.688177,0.150515,-0.005963,0.026858
18.000000,0.000000,4.372974,17.876480,-10.051743,0.686132,0.150232,-0.008324,0.023635
19.000000,0.000000,4.361037,17.951087,-10.197100,0.691732,0.151509,0.007200,0.024279
20.000000,0.000000,4.386765,17.888336,-10.044364,0.685797,0.148637,-0.009342,0.022668
21.000000,0.000000,4.351061,17.995201,-10.103844,0.686789,0.150089,0.011761,0.022345
22.000000,0.000000,4.294759,17.916935,-10.068267,0.686846,0.151889,-0.010418,0.024602
23.000000,0.000000,4.372791,17.901153,-9.902747,0.684439,0.148636,0.001527,0.023957
24.000000,0.000000,4.356744,17.933904,-10.088040,0.688198,0.149304,-7.126692E-5,0.022990
25.000000,0.000000,4.370395,17.925695,-10.045013,0.687157,0.149726,-0.000968,0.023957
26.000000,0.000000,4.331898,17.964380,-10.029901,0.688520,0.149946,0.004095,0.023957
